weather,base,visibility,dt,timezone,id,name,cod,coord.lon,coord.lat,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.humidity,main.sea_level,main.grnd_level,wind.speed,wind.deg,wind.gust,clouds.all,sys.country,sys.sunrise,sys.sunset,sys.type,sys.id,message,rain.1h,snow.1h
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,10000.0,1627669525.0,10800.0,546105.0,Nikolskoye,200,30.7861,59.7035,292.51,292.12,292.09,293.16,999.0,62.0,999.0,995.0,2.21,181.0,4.97,68.0,RU,1627608903.0,1627669881.0,1.0,8926.0,,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,10000.0,1627669525.0,-28800.0,5866583.0,Saint Paul Harbor,200,-152.4072,57.79,285.88,285.19,285.88,285.88,1021.0,76.0,,,0.0,0.0,,90.0,US,1627653660.0,1627713054.0,1.0,7668.0,,,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,10000.0,1627669064.0,7200.0,3369157.0,Cape Town,200,18.4232,-33.9258,286.0,285.66,284.75,287.74,1030.0,89.0,,,2.06,140.0,,0.0,ZA,1627623616.0,1627661101.0,2.0,2033665.0,,,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,10000.0,1627669525.0,-14400.0,3728097.0,Les Cayes,200,-73.75,18.2,303.66,307.21,303.66,303.66,1016.0,61.0,1016.0,1015.0,5.97,112.0,9.43,5.0,HT,1627641149.0,1627687810.0,,,,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,10000.0,1627669525.0,-18000.0,4026082.0,Lázaro Cárdenas,200,-102.2,17.9583,300.86,304.14,300.86,300.86,1012.0,77.0,1012.0,1011.0,1.9,2.0,2.49,100.0,MX,1627648001.0,1627694615.0,,,,,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,10000.0,1627669525.0,-14400.0,3450909.0,Rondonópolis,200,-54.6356,-16.4708,302.57,300.83,302.57,302.57,1017.0,14.0,1017.0,991.0,1.68,228.0,2.11,0.0,BR,1627639429.0,1627680356.0,,,,,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,10000.0,1627669525.0,-10800.0,3445026.0,Vila Velha,200,-40.2925,-20.3297,293.12,292.63,289.23,293.12,1024.0,56.0,,,6.17,180.0,,0.0,BR,1627636327.0,1627676573.0,1.0,8474.0,,,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,10000.0,1627669525.0,32400.0,2018735.0,Nyurba,200,118.3319,63.2842,285.65,284.37,285.65,285.65,1017.0,54.0,1017.0,1004.0,1.08,49.0,1.12,7.0,RU,1627672690.0,1627736868.0,,,,,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,10000.0,1627669525.0,3600.0,2264557.0,Ponta do Sol,200,-17.1,32.6667,297.51,297.86,297.11,297.99,1022.0,71.0,1022.0,1022.0,3.07,75.0,4.43,1.0,PT,1627626064.0,1627675704.0,2.0,2008291.0,,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,642.0,1627669525.0,39600.0,2121385.0,Severo-Kuril'sk,200,156.125,50.6789,286.61,286.57,286.61,286.61,1006.0,98.0,1006.0,1006.0,1.52,239.0,3.57,96.0,RU,1627668022.0,1627723396.0,,,,,
"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,10000.0,1627669358.0,3600.0,2643044.0,Margate,200,1.3862,51.3813,290.71,290.35,289.44,290.99,1003.0,70.0,,,2.24,175.0,4.92,15.0,GB,1627618546.0,1627674349.0,2.0,2020742.0,,,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,10000.0,1627669526.0,14400.0,934649.0,Cap Malheureux,200,57.6142,-19.9842,294.52,294.54,294.52,295.42,1026.0,70.0,,,3.58,132.0,5.36,6.0,MU,1627612805.0,1627653101.0,2.0,2002134.0,,,
