weather,base,visibility,dt,timezone,id,name,cod,coord.lon,coord.lat,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.humidity,wind.speed,wind.deg,clouds.all,sys.type,sys.id,sys.country,sys.sunrise,sys.sunset,main.sea_level,main.grnd_level,wind.gust,message,rain.1h
"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,10000.0,1627749773.0,25200.0,1507390.0,Dikson,200,80.5464,73.5069,43.79,37.27,43.79,43.79,1005.0,91.0,13.04,66.0,100.0,,,RU,0.0,0.0,1005.0,999.0,13.94,,0.17
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,10000.0,1627749775.0,-18000.0,3671519.0,Puerto Carreño,200,-67.4859,6.189,83.41,88.93,83.41,83.41,1015.0,69.0,9.28,201.0,79.0,,,CO,1627727074.0,1627771675.0,1015.0,1009.0,9.62,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1627749776.0,28800.0,1629380.0,Ruteng,200,120.4721,-8.6136,61.52,61.79,61.52,61.52,1013.0,94.0,4.97,152.0,93.0,,,ID,1627769530.0,1627811796.0,1013.0,883.0,8.84,,
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,10000.0,1627749582.0,-10800.0,3833367.0,Ushuaia,200,-68.3,-54.8,46.06,39.92,40.62,46.06,1005.0,49.0,13.8,320.0,75.0,1.0,8303.0,AR,1627734215.0,1627764924.0,,,,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1627749778.0,43200.0,2208248.0,Kaitangata,200,169.8464,-46.2817,47.28,47.28,47.28,47.28,1010.0,96.0,2.15,342.0,100.0,,,NZ,1627761684.0,1627795943.0,1010.0,1010.0,2.8,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,10000.0,1627749779.0,39600.0,2126785.0,Belaya Gora,200,146.4167,68.5333,44.2,35.89,44.2,44.2,1011.0,73.0,20.51,337.0,100.0,,,RU,1627748292.0,1627820581.0,1011.0,1005.0,32.39,,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,10000.0,1627749781.0,-10800.0,3466165.0,Cidreira,200,-50.2056,-30.1811,58.53,57.33,58.53,58.53,1029.0,69.0,15.57,54.0,0.0,,,BR,1627726023.0,1627764431.0,1029.0,1028.0,25.23,,
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,10000.0,1627749782.0,34200.0,2173911.0,Broken Hill,200,141.4333,-31.95,51.51,50.22,51.51,51.51,1009.0,82.0,12.66,210.0,75.0,1.0,9491.0,AU,1627766597.0,1627804668.0,,,,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1627749708.0,18000.0,1282256.0,Hithadhoo,200,73.0833,-0.6,81.68,86.47,81.68,81.68,1014.0,73.0,5.21,137.0,92.0,,,MV,1627693876.0,1627737401.0,1014.0,1014.0,5.03,,
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,10000.0,1627749784.0,10800.0,677382.0,Ghimbav,200,25.5,45.6667,76.48,77.25,69.06,77.49,1011.0,73.0,4.14,187.0,67.0,2.0,80250.0,RO,1627700409.0,1627753708.0,1011.0,948.0,4.0,,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,10000.0,1627749785.0,34200.0,2077895.0,Alice Springs,200,133.8833,-23.7,63.95,61.56,63.95,63.95,1014.0,32.0,6.91,290.0,0.0,1.0,9483.0,AU,1627767588.0,1627807300.0,,,,,
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,10000.0,1627749787.0,-36000.0,5848280.0,Kapaa,200,-159.319,22.0752,77.58,78.42,71.58,80.92,1018.0,72.0,1.99,39.0,40.0,2.0,2001562.0,US,1627747756.0,1627795071.0,,,5.99,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,10000.0,1627749788.0,-21600.0,3608828.0,Iralaya,200,-83.2333,15.0,80.69,85.57,80.69,80.69,1015.0,79.0,12.73,80.0,100.0,1.0,7087.0,HN,1627730125.0,1627776182.0,1015.0,1014.0,18.7,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1627749542.0,43200.0,4031742.0,Egvekinot,200,-179.1667,66.3167,32.56,24.78,32.56,32.56,1003.0,75.0,9.31,5.0,100.0,,,RU,1627828855.0,1627896293.0,1003.0,950.0,12.5,,
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,2572.0,1627749790.0,-10800.0,3831208.0,Qaanaaq,200,-69.3632,77.484,42.91,42.91,42.91,42.91,1013.0,84.0,2.82,243.0,49.0,,,GL,0.0,0.0,1013.0,1009.0,2.37,,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,10000.0,1627749792.0,28800.0,2071860.0,Esperance,200,121.9,-33.8667,48.04,40.03,48.04,48.04,1007.0,71.0,25.68,321.0,5.0,1.0,9525.0,AU,1627771494.0,1627809146.0,1007.0,1007.0,43.15,,
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,10000.0,1627749793.0,19800.0,1278122.0,Avanigadda,200,80.9181,16.0215,84.34,88.39,84.34,84.34,1006.0,61.0,8.12,243.0,78.0,1.0,9207.0,IN,1627690633.0,1627736883.0,1006.0,1005.0,22.21,,
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,10000.0,1627749794.0,-21600.0,5882953.0,Aklavik,200,-135.0107,68.2191,68.0,67.69,68.0,68.83,1013.0,68.0,3.44,360.0,75.0,1.0,821.0,CA,1627729740.0,1627801419.0,,,,,
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,10000.0,1627749795.0,-18000.0,4726521.0,San Patricio,200,-97.5169,28.017,90.25,93.31,86.54,93.02,1017.0,46.0,5.88,182.0,28.0,2.0,2040001.0,US,1627732329.0,1627780834.0,1017.0,1015.0,5.61,,
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,10000.0,1627749796.0,-21600.0,6170031.0,Tuktoyaktuk,200,-133.0374,69.4541,60.8,60.71,60.8,60.8,1011.0,88.0,16.11,280.0,75.0,1.0,942.0,CA,1627727558.0,1627802654.0,,,,,
"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,10000.0,1627749798.0,-21600.0,6185377.0,Yellowknife,200,-114.3525,62.456,70.54,70.48,69.57,73.29,1018.0,68.0,5.75,170.0,20.0,2.0,19346.0,CA,1627729091.0,1627792152.0,,,,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,9742.0,1627749799.0,39600.0,2121385.0,Severo-Kuril'sk,200,156.125,50.6789,53.13,52.7,53.13,53.13,1009.0,97.0,1.43,199.0,100.0,,,RU,1627754509.0,1627809704.0,1009.0,1008.0,4.47,,
"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,10000.0,1627749800.0,14400.0,933995.0,Souillac,200,57.5167,-20.5167,70.18,70.56,70.18,70.36,1026.0,78.0,12.66,130.0,40.0,1.0,2061.0,MU,1627699251.0,1627739498.0,,,24.16,,0.13
